id,word,stem,pos,tags,sep_form
0,Кхьейдан,кхье,verb,"aor,ptp,sg,gen",кхье-й-да-н
1,патай,патай,postp,"",патай
2,Эдебиятдин,эдебият,n,"gen",эдебиятди-н
3,чӀаланни,чӀал,n,"gen,add",чӀала-н-ни
4,орфографиядин,орфография,n,"gen",орфографияди-н
5,месэлаяр,месэла,n,"pl,abs",месэла-яр
6,гьял,гьял,verb,"per",гьял
7,авун,аву,verb,"msd",аву-н
8,са,са,num,"",са
9,акьван,акьван,adv,"",акьван
10,регьят,регьят,adj,"",регьят
11,тир,я,cop,"ptp",тир
12,кӀвалах,кӀвалах,n,"abs",кӀвалах
13,туш,я,cop,"neg",туш
14,Чи,чун,prn,"gen",чи
15,лезгияр,лезги,n,"pl,abs",лезги-яр
16,хьтин,хьтин,part,"",хьтин
17,жегьил,жегьил,adj,"",жегьил
18,эдебият,эдебият,n,"abs",эдебият
19,авай,ава,cop,"ptp",ава-й
20,халкьариз,халкь,n,"pl,dat",халкь-ари-з
21,и,и,prn,"",и
22,месэлаяр,месэла,n,"pl,abs",месэла-яр
23,гьял,гьял,verb,"per",гьял
24,авун,аву,verb,"msd",аву-н
25,амайдалайни,ама,cop,"ptp,sg,super,elative,add",ама-й-да-л-ай-ни
26,четин,четин,adj,"",четин
27,я,я,cop,"imperf",я
28,И,и,prn,"",и
29,карда,кар,n,"in,essive",кард-а
30,чаз,чун,prn,"dat",ча-з
31,амай,ама,cop,"ptp",ама-й
32,халкьариз,халкь,n,"pl,dat",халкь-ари-з
33,авай,ава,cop,"ptp",ава-й
34,хьтин,хьтин,part,"",хьтин
35,нетижа,нетижа,n,"abs",нетижа
36,авач,ава,cop,"neg",ава-ч
37,Чи,чун,prn,"gen",чи
38,рехъ,рехъ,n,"abs",рехъ
39,амай,ама,cop,"ptp",ама-й
40,халкьарин,халкь,n,"pl,gen",халкь-ари-н
41,рехъ,рехъ,n,"abs",рехъ
42,хьиз,хьиз,conj,"",хьиз
43,ачух,ачух,adj,"",ачух
44,хьанвай,хьа,verb,"prf,ptp",хьа-нва-й
45,рехъ,рехъ,n,"abs",рехъ
46,туш,я,cop,"neg",туш
47,Чна,чун,prn,"erg",чна
48,гила,гила,adv,"",гила
49,рекьер,рехъ,n,"pl,abs",рекь-ер
50,жугъурзава,жугъур,verb,"imperf",жугъур-зава
51,За,зун,prn,"erg",за
52,кхьенвай,кхье,verb,"prf,ptp",кхье-нва-й
53,и,и,prn,"",и
54,ктабдал,ктаб,n,"super,essive",ктабда-л
55,лезги,лезги,adj,"",лезги
56,эдебиятдин,эдебият,n,"gen",эдебиятди-н
57,чӀаланни,чӀал,n,"gen,add",чӀала-н-ни
58,орфографиядин,орфография,n,"gen",орфографияди-н
59,месэла,месэла,n,"abs",месэла
60,гьял,гьял,verb,"per",гьял
61,хьана,хьа,verb,"aoc",хьа-на
62,куьтягь,куьтягь,verb,"per",куьтягь
63,жезвач,же,verb,"imperf,neg",же-зва-ч
64,Им,и,prn,"sg,abs",и-м
65,за,зун,prn,"erg",за
66,ктабда,ктаб,n,"in,essive",ктабд-а
67,эцигнавай,эциг,verb,"prf,ptp",эциг-нава-й
68,месэлаяр,месэла,n,"pl,abs",месэла-яр
69,гьял,гьял,verb,"per",гьял
70,авуниз,аву,verb,"msd,dat",аву-ни-з
71,рехъ,рехъ,n,"abs",рехъ
72,жугъуруниз,жугъур,verb,"msd,dat",жугъур-уни-з
73,авунвай,аву,verb,"prf,ptp",аву-нва-й
74,сифте,сифте,adj,"",сифте
75,алахъун,алахъ,verb,"msd",алахъ-ун
76,я,я,cop,"imperf",я
77,Иниз,иниз,adv,"",иниз
78,килигна,килиг,verb,"aoc",килиг-на
79,кӀелдайбурувай,кӀел,verb,"fut,ptp,pl,ad,elative",кӀел-да-й-буру-в-ай
80,ва,ва,conj,"",ва
81,гзафни,гзаф,adv,"add",гзаф-ни
82,гзаф,гзаф,adv,"",гзаф
83,муаллимривай,муаллим,n,"pl,ad,elative",муаллим-ри-в-ай
84,и,и,prn,"",и
85,ктабдиз,ктаб,n,"dat",ктабди-з
86,тенкъиддин,тенкъид,n,"gen",тенкъидди-н
87,вилелди,вил,n,"super,directive",виле-л-ди
88,килигна,килиг,verb,"aoc",килиг-на
89,квай,ква,cop,"ptp",ква-й
90,кимивилер,кимивил,n,"pl,abs",кимивил-ер
91,ахтармишна,ахтармиш,verb,"aoc",ахтармиш-на
92,къалурун,къалур,verb,"msd",къалур-ун
93,тӀалаб,тӀалаб,n,"abs",тӀалаб
94,ийизва,ийи,verb,"imperf",ийи-зва
95,за,зун,prn,"erg",за
