id,word,stem,pos,tags,sep_form
0,Къарпузар,къарпуз,n,"pl,abs",къарпуз-ар
1,ни,вуж,prn,"erg",ни
2,чуьнуьжзава,чуьнуьж,verb,"imperf",чуьнуьж-зава
3,Дегь,дегь,adj,"",дегь
4,замандин,заман,n,"gen",заманди-н
5,зурба,зурба,adj,"",зурба
6,тама,там,n,"in,essive",там-а
7,чи,чун,prn,"gen",чи
8,колхоздихъ,колхоз,n,"post,essive",колхозди-хъ
9,еке,еке,adj,"",еке
10,белгенар,белген,n,"pl,abs",белген-ар
11,ава,ава,cop,"imperf",ава
12,Инра,инра,adv,"",инра
13,гьар,гьар,prn,"",гьар
14,йисуз,йис,n,"dat",йису-з
15,бустанар,бустан,n,"pl,abs",бустан-ар
16,цазва,ца,verb,"imperf",ца-зва
17,И,и,prn,"",и
18,бустанра,бустан,n,"pl,in,essive",бустан-р-а
19,къарпузар,къарпуз,n,"pl,abs",къарпуз-ар
20,гатун,гад,n,"gen",гату-н
21,халияр,хали,n,"pl,abs",хали-яр
22,афнияр,афни,n,"pl,abs",афни-яр
23,буранар,буран,n,"pl,abs",буран-ар
24,цазва,ца,verb,"imperf",ца-зва
25,А,а,prn,"",а
26,угъриди,угъри,n,"erg",угъри-ди
27,гьи,гьи,prn,"",гьи
28,вахтунда,вахт,n,"in,essive",вахтунд-а
29,къвезватӀани,къве,verb,"imperf,cnd,add",къве-зва-тӀа-ни
30,чидач,чи,verb,"fut,neg",чи-да-ч
31,хъсан,хъсан,adj,"",хъсан
32,чранвай,чра,verb,"prf,ptp",чра-нва-й
33,къарпузар,къарпуз,n,"pl,abs",къарпуз-ар
34,жагъурна,жагъур,verb,"aoc",жагъур-на
35,абур,а,prn,"pl,abs",абур
36,я,я,conj,"",я
37,бустанда,бустан,n,"in,essive",бустанд-а
38,чкадал,чка,n,"super,essive",чкада-л
39,я,я,conj,"",я
40,тухвана,тухва,verb,"aoc",тухва-на
41,лап,лап,adv,"",лап
42,мукьвал,мукьвал,adj,"",мукьвал
43,алай,ала,cop,"ptp",ала-й
44,кулара,кул,n,"pl,in,essive",кул-ар-а
45,незва,не,verb,"imperf",не-зва
46,Ингье,ингье,part,"",ингье
47,пуд,пуд,num,"",пуд
48,йиф,йиф,n,"abs",йиф
49,я,я,cop,"imperf",я
50,за,зун,prn,"erg",за
51,вил,вил,n,"abs",вил
52,кьванни,кьванни,part,"",кьванни
53,акьалнавач,акьал,verb,"prf,neg",акьал-нава-ч
54,гьа,гьа,prn,"",гьа
55,вили,вил,n,"erg",вил-и
56,хуьзва,хуь,verb,"imperf",хуь-зва
57,амма,амма,conj,"",амма
58,завай,зун,prn,"ad,elative",за-в-ай
59,угъри,угъри,n,"abs",угъри
60,кьаз,кьа,verb,"inf",кьа-з
61,жезвач,же,verb,"imperf,neg",же-зва-ч
62,хьи,хьи,part,"",хьи
63,жезвач,же,verb,"imperf,neg",же-зва-ч
64,лагьана,лагьа,verb,"aor",лагьа-на
65,бустанчи,бустанчи,n,"abs",бустанчи
66,Букар,букар,n,"abs",букар
67,халуди,халу,n,"erg",халу-ди
68,шикаят,шикаят,n,"abs",шикаят
69,авуна,аву,verb,"aoc",аву-на
70,Белки,белки,intj,"",белки
71,кьуьзуь,кьуьзуь,adj,"",кьуьзуь
72,хьуниз,хьу,verb,"msd,dat",хьу-ни-з
73,килигна,килигна,postp,"",килигна
74,зи,зун,prn,"gen",зи
75,вилериз,вил,n,"pl,dat",вил-ери-з
76,экв,экв,n,"abs",экв
77,аквазмач,аква,verb,"imperf.cont,neg",аква-зма-ч
78,вунни,вун,prn,"add",вун-ни
79,са,са,num,"",са
80,кьве,кьве,num,"",кьве
81,юкъуз,юкъ,n,"dat",юкъу-з
82,и,и,prn,"",и
83,бустанда,бустан,n,"in,essive",бустанд-а
84,амукь,амукь,verb,"imper",амукь
85,белки,белки,intj,"",белки
86,а,а,prn,"",а
87,къариба,къариба,adj,"",къариба
88,угъри,угъри,n,"abs",угъри
89,ваз,вун,prn,"dat",ва-з
90,акван,аква,verb,"hort",аква-н
91,Зун,зун,prn,"",зун
92,Букар,букар,n,"abs",букар
93,халудин,халу,n,"gen",халуди-н
94,кьилив,кьилив,postp,"",кьилив
95,нисинлай,нисин,n,"super,elative",нисин-л-ай
96,алатайдалай,алат,verb,"aor,ptp,sg,super,elative",алат-ай-да-л-ай
97,кьулухъ,кьулухъ,postp,"",кьулухъ
98,ружани,ружа,n,"add",ружа-ни
99,гваз,гва,cop,"cvb",гва-з
100,атана,ата,verb,"aor",ата-на
101,Чна,чун,prn,"erg",чна
102,зурба,зурба,adj,"",зурба
103,са,са,num,"",са
104,мегъуьн,мегъ,n,"gen",мегъуь-н
105,таран,тар,n,"gen",тара-н
106,танда,тан,n,"in,essive",танд-а
107,кьве,кьве,num,"",кьве
108,еке,еке,adj,"",еке
109,хилен,хил,n,"gen",хиле-н
110,арада,арада,postp,"",арада
111,эцигнавай,эциг,verb,"prf,ptp",эциг-нава-й
112,кумада,кума,n,"in,essive",кумад-а
113,чка,чка,n,"abs",чка
114,кьуна,кьу,verb,"aor",кьу-на
115,Инлай,инлай,adv,"",инлай
116,вири,вири,prn,"",вири
117,бустан,бустан,n,"abs",бустан
118,капаллай,кап,n,"super,essive,be.on,ptp",капа-л-ла-й
119,хьиз,хьиз,conj,"",хьиз
120,аквазва,аква,verb,"imperf",аква-зва
121,ГьикӀ,гьикӀ,adv,"",гьикӀ
122,хьана,хьа,verb,"aor",хьа-на
123,халу,халу,n,"abs",халу
124,вуна,вун,prn,"erg",вуна
125,сирлу,сирлу,adj,"",сирлу
126,угъри,угъри,n,"abs",угъри
127,кьунвачни,кьу,verb,"prf,neg,inter",кьу-нва-ч-ни
128,хабар,хабар,n,"abs",хабар
129,кьуна,кьу,verb,"aor",кьу-на
130,за,зун,prn,"erg",за
131,Кьунвач,кьу,verb,"prf,neg",кьу-нва-ч
132,Заз,зун,prn,"dat",за-з
133,ам,а,prn,"sg,abs",ам
134,акур,аку,verb,"aor,ptp",аку-р
135,хьиз,хьиз,conj,"",хьиз
136,я,я,cop,"imperf",я
137,ам,а,prn,"sg,abs",ам
138,инсан,инсан,n,"abs",инсан
139,туш,я,cop,"neg",туш
140,аквар,аква,verb,"aimpp",аква-р
141,гьаларай,гьал,n,"pl,in,elative",гьал-ар-а-й
142,вагьши,вагьши,adj,"",вагьши
143,гьайван,гьайван,n,"abs",гьайван
144,я,я,cop,"imperf",я
145,Вуч,вуч,prn,"",вуч
146,я,я,cop,"imperf",я
147,Бегьем,бегьем,adv,"",бегьем
148,кьатӀуз,кьатӀу,verb,"inf",кьатӀу-з
149,жедайвал,же,verb,"fut,ptp,man",же-да-й-вал
150,акунач,аку,verb,"aor,neg",аку-на-ч
151,хва,хва,n,"abs",хва
152,Ам,а,prn,"sg,abs",ам
153,ангье,ангье,part,"",ангье
154,атӀа,атӀа,prn,"",атӀа
155,бурма,бурма,adj,"",бурма
156,куларай,кул,n,"pl,in,elative",кул-ар-а-й
157,экъечӀна,экъечӀ,verb,"aor",экъечӀ-на
158,Букар,букар,n,"abs",букар
159,халуди,халу,n,"erg",халу-ди
160,мерейрин,мере,n,"pl,gen",мере-йри-н
161,къалин,къалин,adj,"",къалин
162,куллух,куллух,n,"abs",куллух
163,къалурна,къалур,verb,"aor",къалур-на
164,Гуьзетин,гуьзет,verb,"hort",гуьзет-ин
165,Килигда,килиг,verb,"fut",килиг-да
166,чун,чун,prn,"",чун
167,Исятда,исятда,adv,"",исятда
168,за,зун,prn,"erg",за
169,ваз,вун,prn,"dat",ва-з
170,са,са,num,"",са
171,хъсан,хъсан,adj,"",хъсан
172,къарпуз,къарпуз,n,"abs",къарпуз
173,атӀуда,атӀу,verb,"fut",атӀу-да
174,Хъсан,хъсан,adj,"",хъсан
175,къарпуз,къарпуз,n,"abs",къарпуз
176,бустанчидиз,бустанчи,n,"dat",бустанчиди-з
177,чида,чи,verb,"fut",чи-да
178,Чна,чун,prn,"erg",чна
179,гьеле,гьеле,adv,"",гьеле
180,ширин,ширин,adj,"",ширин
181,ширедай,шире,n,"in,elative",ширед-а-й
182,ацӀанвай,ацӀа,verb,"prf,ptp",ацӀа-нва-й
183,сиве,сив,n,"in,essive",сив-е
184,чкӀана,чкӀа,verb,"aoc",чкӀа-на
185,физвай,фи,verb,"imperf,ptp",фи-зва-й
186,кеврек,кеврек,adj,"",кеврек
187,къарпуз,къарпуз,n,"abs",къарпуз
188,тӀуьна,тӀуь,verb,"aoc",тӀуь-на
189,куьтягь,куьтягь,verb,"per",куьтягь
190,хьанвачир,хьа,verb,"prf,neg,pst",хьа-нва-ч-ир
191,амма,амма,conj,"",амма
192,Букар,букар,n,"abs",букар
193,халуди,халу,n,"erg",халу-ди
194,за,зун,prn,"erg",за
195,гъил,гъил,n,"abs",гъил
196,эцяна,эця,verb,"aoc",эця-на
197,зи,зун,prn,"gen",зи
198,япал,яб,n,"super,essive",япа-л
199,кушкушна,кушкуш,verb,"aor",кушкуш-на
200,Бустандиз,бустан,n,"dat",бустанди-з
201,вил,вил,n,"abs",вил
202,вегь,вегь,verb,"imper",вегь
203,Хъсандиз,хъсандиз,adv,"",хъсандиз
204,килиг,килиг,verb,"imper",килиг
205,Тарарин,тар,n,"pl,gen",тарари-н
206,хъенар,хъен,n,"pl,abs",хъен-ар
207,яргъи,яргъи,adj,"",яргъи
208,хьана,хьа,verb,"aoc",хьа-на
209,бустандал,бустан,n,"super,essive",бустанда-л
210,атуниз,ату,verb,"msd,dat",ату-ни-з
211,килигна,килигна,postp,"",килигна
212,ана,ана,adv,"",ана
213,хурушум,хурушум,n,"abs",хурушум
214,хьанва,хьа,verb,"prf",хьа-нва
215,гьавиляй,гьавиляй,conj,"",гьавиляй
216,завай,зун,prn,"ad,elative",за-в-ай
217,ам,а,prn,"sg,abs",ам
218,вуч,вуч,prn,"",вуч
219,вагьши,вагьши,adj,"",вагьши
220,гьайван,гьайван,n,"abs",гьайван
221,ятӀа,я,cop,"cnd",я-тӀа
222,ерли,ерли,adv,"",ерли
223,кьатӀуз,кьатӀу,verb,"inf",кьатӀу-з
224,жезвач,же,verb,"imperf,neg",же-зва-ч
225,Зунни,зун,prn,"add",зун-ни
226,бустанчи,бустанчи,n,"abs",бустанчи
227,Букар,букар,n,"abs",букар
228,Им,и,prn,"sg,abs",им
229,вуж,вуж,prn,"",вуж
230,я,я,cop,"imperf",я
231,эхир,эхир,part,"",эхир
232,лугьуз,лугьу,verb,"inf",лугьу-з
233,фикиррик,фикир,n,"pl,sub,essive",фикир-ри-к
234,кумаз,кума,cop,"cvb",кума-з 
235,атайди,ата,verb,"aor,ptp,sg,abs",ата-й-ди
236,къарпузриз,къарпуз,n,"pl,dat",къарпуз-ри-з
237,гьахьна,гьахь,verb,"aor",гьахь-на
238,Ада,а,prn,"sg,erg",ада
239,са,са,num,"",са
240,къарпуз,къарпуз,n,"abs",къарпуз
241,кьенцӀикай,кьен,n,"sub,elative",кьенцӀи-к-ай
242,хкудна,хкуд,verb,"aor",хкуд-на
243,ам,а,prn,"sg,abs",ам
244,тапас,тапас,n,"abs",тапас
245,геляна,геля,verb,"aoc",геля-на
246,вичин,вич,prn,"gen",вичи-н
247,мукьув,мукьув,postp,"",мукьув
248,гъана,гъа,verb,"aor",гъа-на
249,къарпузда,къарпуз,n,"in,essive",къарпузд-а
250,вичин,вич,prn,"gen",вичи-н
251,яргъи,яргъи,adj,"",яргъи
252,хци,хци,adj,"",хци
253,кӀирер,кӀир,n,"pl,abs",кӀир-ер
254,акӀурна,акӀур,verb,"aor",акӀур-на
255,ам,а,prn,"sg,abs",ам
256,вине,вине,adv,"",вине
257,кьуна,кьу,verb,"aoc",кьу-на
258,хьиз,хьиз,conj,"",хьиз
259,вагьши,вагьши,adj,"",вагьши
260,кулариз,кул,n,"pl,dat",кул-ари-з
261,хъфена,хъфе,verb,"aor",хъфе-на
262,Ам,а,prn,"sg,abs",ам
263,жанавур,жанавур,n,"abs",жанавур
264,тир,я,cop,"prf",тир
265,инанмиш,инанмиш,verb,"per",инанмиш
266,хьухь,хьухь,verb,"imper",хьухь
267,жанавур,жанавур,n,"abs",жанавур
268,тир,я,cop,"prf",тир
269,вуна,вун,prn,"erg",вуна
270,ам,а,prn,"sg,abs",ам
271,тфенгдай,тфенг,n,"in,elative",тфенгд-а-й
272,яна,я,verb,"aoc",я-на
273,кӀандай,кӀан,verb,"fut,pst",кӀан-да-й
274,Яваш,яваш,intj,"",яваш
275,Зазни,зун,prn,"dat,add",за-з-ни
276,атайди,ата,verb,"aor,ptp,sg,abs",ата-й-ди
277,жанавур,жанавур,n,"abs",жанавур
278,тирди,тир,cop,"ptp,sg,abs",тир-ди
279,чир,чир,verb,"per",чир
280,хьана,хьа,verb,"aor",хьа-на
281,ада,а,prn,"sg,erg",ада
282,къарпуздикай,къарпуз,n,"sub,elative",къарпузди-к-ай
283,вучзава,вуч,verb,"imperf",вуч-зава
284,эхир,эхир,part,"",эхир
285,Белки,белки,intj,"",белки
286,ам,а,prn,"sg,abs",ам
287,кицӀ,кицӀ,n,"abs",кицӀ
288,я,я,cop,"imperf",я
289,жеди,жеди,part,"",жеди
290,гьа,гьа,part,"",гьа
291,Заз,зун,prn,"dat",за-з
292,хъсандиз,хъсандиз,adv,"",хъсандиз
293,акуна,аку,verb,"aor",аку-на
294,я,я,part,"",я
295,хва,хва,n,"abs",хва
296,Гьуьжет,гьуьжет,n,"abs",гьуьжет
297,алач,ала,cop,"neg",ала-ч
298,угъри,угъри,n,"abs",угъри
299,жанавур,жанавур,n,"abs",жанавур
300,я,я,cop,"imperf",я
301,Тфенг,тфенг,n,"abs",тфенг
302,гьазурна,гьазур,verb,"aoc",гьазур-на
303,секиндиз,секиндиз,adv,"",секиндиз
304,ацукь,ацукь,verb,"imper",ацукь
305,ам,а,prn,"sg,abs",ам
306,исятда,исятда,adv,"",исятда
307,мад,мад,adv,"",мад
308,къведа,къве,verb,"fut",къве-да
309,Садал,сад,num,"super,essive",сада-л
310,кьведал,кьвед,num,"super,essive",кьведа-л
311,ам,а,prn,"sg,abs",ам
312,тух,тух,adj,"",тух
313,жедай,же,verb,"fut,ptp",же-да-й
314,кафир,кафир,n,"abs",кафир
315,туш,я,cop,"neg",туш
316,Зун,зун,prn,"",зун
