word,analysis,sep_form
Белижда,*,*
съезд,съезд<n><abs>,съезд
Июлдиз,*,*
Белиждин,*,*
поселокда,поселок<n>><in><essive>,поселокд-а
СССРдин,*,*
йис,йис<n><abs>,йис
совхоздин,совхоз<n>><gen>,совхозди-н
Культурадин,культура<n>><gen>,культуради-н
дворецда,*,*
лезгийрин,лезги<n>><pl>><gen>,лезги-йри-н
Садвал,*,*
тӀвар,тӀвар<n><abs>,тӀвар
ганвай,га<verb>><prf>><pst>/га<verb>><prf>><ptp>,га-нва-й/га-нва-й
гьеракатдин,*,*
съезд,съезд<n><abs>,съезд
кьиле,кьил<n>><erg>/кьил<n>><in><essive>,кьил-е/кьил-е
фена,фе<verb>><aoc>/фе<verb>><aor>,фе-на/фе-на
Еке,еке<adj>/еке<adv>,еке/еке
зал,зал<n><abs>/з<prn>><super><essive>,зал/за-л
Яшамишрай,яшамишрай<intj>,яшамишрай
советрин,советрин<adj>/совет<n>><pl>><gen>,советрин/советри-н
халкьарин,*,*
дуствал,*,*
Яшамишрай,яшамишрай<intj>,яшамишрай
лезги,лезги<adj>/лезги<n><abs>,лезги/лезги
халкьдин,халкьдин<adj>/халкь<n>><gen>,халкьдин/халкьди-н
садвал,*,*
ва,ва<conj>/в<prn>><in><essive>,ва/в-а
маса,маса<adj>,маса
лозунгри,лозунг<n>><pl><erg>,лозунг-ри
безетмишнавай,безетмиш<verb>><prf>><pst>/безетмиш<verb>><prf>><ptp>,безетмиш-нава-й/безетмиш-нава-й
Съездда,съезд<n>><in><essive>,съездд-а
иштиракун,*,*
патал,пад<n>><super><essive>/патал<adj>/патал<adv>/патал<post>,пата-л/патал/патал/патал
Махачкъаладай,Махачкъала<n>><in>><elative>,Махачкъалад-а-й
Дербентдай,Дербент<n>><in>><elative>,Дербентд-а-й
Москвадай,Москва<n>><in>><elative>,Москвад-а-й
Бакудай,Баку<n>><in>><elative>,Бакуд-а-й
Сумгаитдай,*,*
Нальчикдай,*,*
Ахцегь,*,*
Кьурагь,кьурагь<adj>,кьурагь
Дербент,Дербент<n><abs>,Дербент
Хив,гьи<prn>><ad><essive>,хи-в
Табасаран,*,*
Къусар,*,*
Къуба,къуба<adj>/къуба<n><abs>,къуба/къуба
Хъачмас,*,*
Къуткъашен,*,*
районрай,район<n>><pl>><in>><elative>,район-р-а-й
делегатар,делегат<n>><pl><abs>,делегат-ар
атанвай,ата<verb>><prf>><pst>/ата<verb>><prf>><ptp>,ата-нва-й/ата-нва-й
Залда,зал<n>><in><essive>,залд-а
съезддин,съезд<n>><gen>,съездди-н
делегатарни,делегат<n>><pl><abs>><add>,делегат-ар-ни
мугьманар,мугьманар<verb>/мугьман<n>><pl><abs>,мугьманар/мугьман-ар
касдилай,кас<n>><super>><elative>,касди-л-ай
гзаф,гзаф<adv>,гзаф
авай,авай<adj>/авай<post>/ава<cop>><pst>/ава<cop>><ptp>,авай/авай/ава-й/ава-й
Садвал,*,*
гьерекатдин,гьерекат<n>><gen>,гьерекатди-н
съезд,съезд<n><abs>,съезд
Бакуда,Баку<n>><in><essive>,Бакуд-а
цӀи,цӀи<adv>,цӀи
ачухнавай,ачух<verb>><prf>><pst>/ачух<verb>><prf>><ptp>,ачух-нава-й/ачух-нава-й
Хважанжан,*,*
тӀвар,тӀвар<n><abs>,тӀвар
алай,алай<adj>/ала<cop>><pst>/ала<cop>><ptp>,алай/ала-й/ала-й
издательстводин,*,*
редактор,редактор<n><abs>,редактор
шаир,шаир<n><abs>,шаир
Изет,*,*
Шерифова,*,*
ачухна,ачух<verb>><aoc>/ачух<verb>><aor>,ачух-на/ачух-на
Президиум,президиум<n><abs>,президиум
хкягъайдалай,хкягъай<adj>><sg>><super>><elative>/хкягъ<verb>><aor><ptp>><sg>><super>><elative>,хкягъай-да-л-ай/хкягъ-ай-да-л-ай
гуьгъуьниз,гуьгъуьниз<adv>/гуьгъуьниз<conj>/гуьгъуьниз<post>,гуьгъуьниз/гуьгъуьниз/гуьгъуьниз
доклад,доклад<n><abs>,доклад
авун,аву<verb>><msd>,аву-н
патал,пад<n>><super><essive>/патал<adj>/патал<adv>/патал<post>,пата-л/патал/патал/патал
гаф,гаф<n><abs>,гаф
Дагпединститутдин,*,*
профессор,профессор<n><abs>
Абдурагьимоваз,*,*
гана,га<verb>><aoc>/га<verb>><aor>,га-на/га-на
Ада,а<prn>><sg><erg>/а<prn>><sg>><in><essive>,а-да/а-д-а
авур,аву<verb>><aor><ptp>,аву-р
Лезгистан,*,*
тарих,тарих<n><abs>,тарих
делилар,делил<n>><pl><abs>,делил-ар
вакъиаяр,вакъиа<n>><pl><abs>,вакъиа-яр
докладдихъ,доклад<n>><post><essive>,докладди-хъ
кӀватӀ,кӀватӀ<n><abs>/кӀватӀ<verb>,кӀватӀ/кӀватӀ
хьанвайбуру,хьанвай<adj>><pl><erg>/хьа<verb>><prf>><ptp>><pl><erg>,хьанвай-буру/хьа-нва-й-буру
дикъетдивди,дикъетдивди<adv>/дикъет<n>><ad>><directive>,дикъетдивди/дикъетди-в-ди
яб,яб<n><abs>,яб
акална,акал<verb>><aoc>/акал<verb>><aor>,акал-на/акал-на
Докладчиди,докладчи<n>><erg>,докладчи-ди
тайин,тайин<adj>/тайин<adv>/тай<verb>><hort>,тайин/тайин/тай-ин
делилрал,делил<n>><pl>><super><essive>,делил-ра-л
рекъемрал,рекъем<n>><pl>><super><essive>,рекъем-ра-л
бинеламиш,бинеламиш<verb>,бинеламиш
хьуналди,хьу<verb>><msd>><super>><directive>,хьу-на-л-ди
дегьзаманрилай,*,*
инихъ,инихъ<adv>,инихъ
лезги,лезги<adj>/лезги<n><abs>,лезги/лезги
халкь,халкь<n><abs>/халкь<verb>,халкь/халкь
фейи,фейи<adj>/фе<verb>><aor><ptp>,фейи/фе-йи
рекьел,рехъ<n>><super><essive>,рекье-л
адан,а<prn>><sg>><gen>,а-да-н
гьал,гьал<n><abs>/гьал<verb>/гьал<verb><imper>,гьал/гьал/гьал
агьвалдал,агьвал<n>><super><essive>,агьвалда-л
яшайишдал,яшайиш<n>><super><essive>,яшайишда-л
культурадал,культура<n>><super><essive>,культурада-л
экономикадал,экономика<n>><super><essive>,экономикада-л
тарихдал,тарих<n>><super><essive>,тарихда-л
искусстводал,*,*
алай,алай<adj>/ала<cop>><pst>/ала<cop>><ptp>,алай/ала-й/ала-й
вахтунда,вахтунда<adv>,вахтунда
чеб,чеб<prn>,чеб
гьалун,гьал<verb>><msd>,гьалун
хцидаказ,хцидаказ<adv>,хцидаказ
истемишзавай,истемиш<verb>><imperf>><pst>/истемиш<verb>><imperf>><ptp>,истемиш-зава-й/истемиш-зава-й
месэлайрал,месэла<n>><pl>><super><essive>,месэла-йра-л
кӀватӀ,кӀватӀ<n><abs>/кӀватӀ<verb>,кӀватӀ/кӀватӀ
хьанвайбурун,хьанвай<adj>><pl>><gen>/хьа<verb>><prf>><ptp>><pl>><gen>,хьанвай-буру-н/хьа-нва-й-буру-н
фикир,фикир<n><abs>/фикир<verb>,фикир/фикир
желбна,желб<verb>><aoc>/желб<verb>><aor>,желб-на/желб-на
Советрин,советрин<adj>/совет<n>><pl>><gen>,советрин/совет-ри-н
власть,власть<n><abs>,власть
жедалди,же<verb>><postr>,же-далди
лагьана,лагьана<conj>/лагьа<verb>><aoc>/лагьа<verb>><aor>,лагьана/лагьа-на/лагьа-на
ада,а<prn>><sg><erg>/а<prn>><sg>><in><essive>,а-да/а-д-а
чапхунчийрихъ,чапхунчи<n>><pl>><post><essive>,чапхунчи-йри-хъ
галаз,галаз<post>/гала<cop>><cvb>,галаз/гала-з
кьиле,кьил<n>><erg>/кьил<n>><in><essive>,кьил-е/кьил-е
фейи,фейи<adj>/фе<verb>><aor><ptp>,фейи/фе-йи
дявейри,дяве<n>><pl><erg>,дяве-йри
гзаф,гзаф<adv>,гзаф
лезгияр,лезги<n>><pl><abs>,лезги-яр
телеф,телеф<verb>,телеф
хьунал,хьу<verb>><msd>><super><essive>,хьу-на-л
халкьдин,халкьдин<adj>/халкь<n>><gen>,халкьдин/халкьди-н
руьгьдин,руьгь<n>><gen>,руьгьди-н
ва,ва<conj>/в<prn>><in><essive>,ва/в-а
материальный,*,*
культура,культура<n><abs>,культура
кӀватунал,кӀват<verb>><msd>><super><essive>,кӀват-уна-л
кхьинрин,кхьи<verb>><msd>><pl>><gen>,кхьин-ри-н
архитектурадин,*,*
памятникар,памятник<n>><pl><abs>,памятник-ар
девлетар,девлет<n>><pl><abs>,девлет-ар
пуч,пуч<verb>,пуч
хьунал,хьу<verb>><msd>><super><essive>,хьу-на-л
гъана,гъа<verb>><aoc>/гъа<verb>><aor>,гъа-на/гъа-на
Ихьтин,*,*
еке,еке<adj>/еке<adv>,еке/еке
магьрумвилеризни,*,*
килиг,килиг<part>/килиг<verb>/килиг<verb><imper>,килиг/килиг/килиг
тавуна,тавуна<adv>/<neg>>аву<verb>><aoc>/<neg>>аву<verb>><msd>><in><essive>,тавуна/т-аву-на/т-аву-н-а
халкьдилай,халкь<n>><super>><elative>,халкьди-л-ай
вичин,вич<prn>><gen>,вичи-н
хайи,хайи<adj>/ха<verb>><aor><ptp>,хайи/ха-йи
чил,чил<n><abs>,чил
руьгьдин,руьгь<n>><gen>,руьгьди-н
багьа,багьа<adj>,багьа
девлет,девлет<n><abs>,девлет
тир,я<cop><pst>/я<cop><ptp>,тир/тир
чӀал,чӀал<n><abs>,чӀал
адетар,адет<n>><pl><abs>,адет-ар
халкьдин,халкьдин<adj>/халкь<n>><gen>,халкьдин/халкьди-н
яратмишунар,яратмиш<verb>><msd>><pl>,яратмиш-ун-ар
хуьз,хуь<verb>><inf>,хуь-з
ва,ва<conj>/в<prn>><in><essive>,ва/в-а
несилрилай,*,*
несилрал,несил<n>><pl>><super><essive>,несил-ра-л
агакьариз,агакьар<verb>><inf>,агакьар-из
алакьна,алакь<verb>><aoc>/алакь<verb>><aor>,алакь-на/алакь-на
Гьа,гьа<part>/гьа<prn>,гьа/гьа
и,и<prn>,и
кардай,кар<n>><in>><elative>/кар<verb>><fut>><pst>/кар<verb>><fut>><ptp>,кард-а-й/кар-да-й/кар-да-й
чна,ч<prn>><erg>,чн-а
адаз,а<prn>><sg>><dat>,а-да-з
юкь,*,*
агъузна,агъуз<verb>><aoc>/агъуз<verb>><aor>,агъуз-на/агъуз-на
икрам,икрам<n><abs>/икрам<verb>,икрам/икрам
авуналди,аву<verb>><msd>><super>><directive>,аву-на-л-ди
баркалла,баркалла<intj>,баркалла
лугьузва,лугьу<verb>><imperf>,лугьу-зва
Докладчиди,докладчи<n>><erg>,докладчи-ди
лезги,лезги<adj>/лезги<n><abs>,лезги/лезги
халкьдин,халкьдин<adj>/халкь<n>><gen>,халкьдин/халкьди-н
тарихда,тарих<n>><in><essive>,тарихд-а
чпиз,чеб<prn>><dat>,чпи-з
чка,чка<n><abs>,чка
хьайи,хьайи<adj>/хьа<verb>><aor><ptp>,хьайи/хьа-йи
хейлин,хейлин<adj>,хейлин
маса,маса<adj>,маса
чӀулав,чӀулав<adj>/чӀулав<verb>,чӀулав/чӀулав
лекейриз,леке<n>><pl>><dat>,леке-йри-з
талукь,талукь<adj>,талукь
гзаф,гзаф<adv>,гзаф
делиларни,делил<n>><pl><abs>><add>,делил-ар-ни
гъана,гъа<verb>><aoc>/гъа<verb>><aor>,гъа-на/гъа-на
Са,са<num>,са
чкадал,чкадал<adv>/чкадал<post>/чка<n>><super><essive>,чкадал/чкадал/чкада-л
ленг,*,*
хьана,хьана<intj>/хьа<verb>><aoc>/хьа<verb>><aor>,хьана/хьа-на/хьа-на
акъатай,акъатай<adj>/акъат<verb>><aor><ptp>,акъатай/акъат-ай
йисара,йис<n>><pl>><in><essive>,йис-ар-а
чи,чи<verb>/ч<prn>><gen>,чи/ч-и
