word,analysis,sep_form
Кхьейдан,кхье<verb>><aor><ptp>><sg>><gen>,кхье-й-да-н
патай,пад<n>><in>><elative>,пат-а-й
Эдебиятдин,эдебиятдин<adj>/эдебият<n>><gen>,эдебиятдин/эдебиятди-н
чӀаланни,чӀал<n>><gen>><add>,чӀала-н-ни
орфографиядин,*,*
месэлаяр,месэла<n>><pl><abs>,месэла-яр
гьял,гьял<verb>,гьял
авун,аву<verb>><msd>,аву-н
са,са<num>,са
акьван,акьван<adv>/акьван<n><abs>/акьван<part>,акьван/акьван/акьван
регьят,регьят<adj>,регьят
тир,я<cop><pst>/я<cop><ptp>,тир/тир
кӀвалах,кӀвалах<n><abs>/кӀвалах<verb>,кӀвалах/кӀвалах
туш,я<cop><neg>,туш
Чи,чи<verb>/ч<prn>><gen>,чи/ч-и
лезгияр,лезги<n>><pl><abs>,лезги-яр
хьтин,хьтин<part>,хьтин
жегьил,жегьил<adj>/жегьил<n><abs>,жегьил/жегьил
эдебият,эдебият<n><abs>,эдебият
авай,ава<cop>><pst>/ава<cop>><ptp>,ава-й/ава-й
халкьариз,*,*
и,и<prn>,и
месэлаяр,месэла<n>><pl><abs>,месэла-яр
гьял,гьял<verb>,гьял
авун,аву<verb>><msd>,аву-н
амайдалайни,амайдалайни<adv>,амайдалайни
четин,четин<adj>,четин
я,я<cop><imperf>,я
И,и<prn>,и
карда,кар<n>><in><essive>/кар<verb>><fut>,кард-а/кар-да
чаз,ч<prn>><dat>,ча-з
амай,амай<adj>/ама<cop>><pst>/ама<cop>><ptp>,амай/ама-й/ама-й
халкьариз,*,*
авай,авай<adj>/авай<post>/ава<cop>><pst>/ава<cop>><ptp>,авай/авай/ава-й/ава-й
хьтин,хьтин<part>,хьтин
нетижа,нетижа<n><abs>,нетижа
авач,ава<cop>><neg>,ава-ч
Чи,чи<verb>/ч<prn>><gen>,чи/ч-и
рехъ,рехъ<n><abs>,рехъ
амай,амай<adj>/ама<cop>><pst>/ама<cop>><ptp>,амай/ама-й/ама-й
халкьарин,*,*
рехъ,рехъ<n><abs>,рехъ
хьиз,хьиз<conj>/хьиз<part>,хьиз/хьиз
ачух,ачух<adj>/ачух<adv>/ачух<verb>,ачух/ачух/ачух
хьанвай,хьанвай<adj>/хьа<verb>><prf>><pst>/хьа<verb>><prf>><ptp>,хьанвай/хьа-нва-й/хьа-нва-й
рехъ,рехъ<n><abs>,рехъ
туш,я<cop><neg>,туш
Чна,ч<prn>><erg>,чн-а
гила,гила<adv>,гила
рекьер,рехъ<n>><pl><abs>,рекь-ер
жугъурзава,*,*
За,з<prn>><erg>/з<prn>><in><essive>,з-а/з-а
кхьенвай,кхье<verb>><prf>><pst>/кхье<verb>><prf>><ptp>,кхье-нва-й/кхье-нва-й
и,и<prn>,и
ктабдал,ктаб<n>><super><essive>,ктабда-л
лезги,лезги<adj>/лезги<n><abs>,лезги/лезги
эдебиятдин,эдебиятдин<adj>/эдебият<n>><gen>,эдебиятдин/эдебиятди-н
чӀаланни,чӀал<n>><gen>><add>,чӀала-н-ни
орфографиядин,*,*
месэла,месэла<n><abs>,месэла
гьял,гьял<verb>,гьял
хьана,хьана<intj>/хьа<verb>><aoc>/хьа<verb>><aor>,хьана/хьа-на/хьа-на
куьтягь,куьтягь<verb>,куьтягь
жезвач,же<verb>><imperf>><neg>,же-зва-ч
Им,и<prn>><sg><abs>,и-м
за,з<prn>><erg>/з<prn>><in><essive>,з-а/з-а
ктабда,ктаб<n>><in><essive>,ктабд-а
эцигнавай,эциг<verb>><prf>><pst>/эциг<verb>><prf>><ptp>,эциг-нава-й/эциг-нава-й
месэлаяр,месэла<n>><pl><abs>,месэла-яр
гьял,гьял<verb>,гьял
авуниз,аву<verb>><msd>><dat>,аву-ни-з
рехъ,рехъ<n><abs>,рехъ
жугъуруниз,*,*
авунвай,аву<verb>><prf>><ptp>,аву-нва-й
сифте,сифте<adj>/сифте<adv>,сифте/сифте
алахъун,алахъун<n><abs>/алахъ<verb>><msd>,алахъун/алахъ-ун
я,я<cop><imperf>,я
Иниз,иниз<adv>,иниз
килигна,килигна<post>/килиг<verb>><aoc>/килиг<verb>><aor>,килигна/килиг-на/килиг-на
кӀелдайбурувай,кӀел<verb>><fut>><ptp>><pl>><ad>><elative>,кӀел-да-й-буру-в-ай
ва,ва<conj>/в<prn>><in><essive>,ва/в-а
гзафни,*,*
гзаф,гзаф<adv>,гзаф
муаллимривай,муаллим<n>><pl>><ad>><elative>,муаллим-ри-в-ай
и,и<prn>,и
ктабдиз,ктаб<n>><dat>,ктабди-з
тенкъиддин,*,*
вилелди,*,*
килигна,килигна<post>/килиг<verb>><aoc>/килиг<verb>><aor>,килигна/килиг-на/килиг-на
квай,ква<cop>><pst>/ква<cop>><ptp>,ква-й/ква-й
кимивилер,*,*
ахтармишна,ахтармиш<verb>><aoc>/ахтармиш<verb>><aor>,ахтармиш-на/ахтармиш-на
къалурун,къалур<verb>><msd>,къалур-ун
тӀалаб,тӀалаб<n><abs>/тӀалаб<verb>,тӀалаб/тӀалаб
ийизва,ийи<verb>><imperf>,ийи-зва
за,з<prn>><erg>/з<prn>><in><essive>,з-а/з-а
