word,analysis,sep_form
Урусатдин,*,*
цуьк,цуьк<n><abs>,цуьк
Иштиракзавай,*,*
ксар,кас<n>><pl><abs>,кс-ар
Зина,зина<n><abs>,зина
Казакова,*,*
зоотехник,*,*
хуьруьн,хуьруьн<adj>/хуьр<n>><gen>,хуьруьн/хуьруь-н
майишатдин,майишат<n>><gen>,майишатди-н
илимрин,илим<n>><pl>><gen>,илим-ри-н
кандидат,кандидат<n><abs>,кандидат
Самур,*,*
совхоздин,совхоз<n>><gen>,совхозди-н
отделениедин,отделение<n>><gen>,отделениеди-н
заведующий,заведующий<n><abs>,заведующий
Аслан,аслан<n><abs>,аслан
Али,*,*
чубанар,чубан<n>><pl><abs>,чубан-ар
Мержан,мержан<n><abs>,мержан
Забуран,*,*
вах,вах<n><abs>,вах
Ажай,*,*
Аслананни,*,*
Перидин,пери<n>><gen>,периди-н
баде,баде<n><abs>,баде
Варис,варис<n><abs>,варис
ниси,ниси<n><abs>,ниси
ийидай,ийи<verb>><fut>><ptp>,ийи-да-й
заводдин,завод<n>><gen>,заводди-н
устӀар,*,*
Забур,*,*
зоотехник,*,*
хуьруьн,хуьруьн<adj>/хуьр<n>><gen>,хуьруьн/хуьруь-н
майишатдин,майишат<n>><gen>,майишатди-н
илимрин,илим<n>><pl>><gen>,илим-ри-н
кандидат,кандидат<n><abs>,кандидат
Рагьим,*,*
хуьруьн,хуьруьн<adj>/хуьр<n>><gen>,хуьруьн/хуьруь-н
агъсакъал,агъсакъал<n><abs>,агъсакъал
Совхоздин,совхоз<n>><gen>,совхозди-н
рабочияр,*,*
рушарни,руш<n>><pl><abs>><add>,руш-ар-ни
гадаяр,гада<n>><pl><abs>,гада-яр
И,и<prn>,и
комедияда,комедия<n>><in><essive>,комедияд-а
дагъдин,дагъдин<adj>,дагъдин
хуьре,хуьр<n>><erg>/хуьр<n>><in><essive>,хуьр-е/хуьр-е
намусдалди,намусдалди<adv>/намус<n>><super>><directive>,намусдалди/намусда-л-ди
зегьмет,зегьмет<n><abs>,зегьмет
чӀугвазвай,чӀугва<verb>><imperf>><pst>/чӀугва<verb>><imperf>><ptp>,чӀугва-зва-й/чӀугва-зва-й
жегьилрикай,жегьил<n>><pl>><sub>><elative>,жегьил-ри-к-ай
абурун,а<prn>><pl>><gen>,а-буру-н
гьерекатрикай,гьерекат<n>><pl>><sub>><elative>,гьерекат-ри-к-ай
ва,ва<conj>/в<prn>><in><essive>,ва/в-а
алакъайрикай,алакъа<n>><pl>><sub>><elative>,алакъа-йри-к-ай
суьгьбет,суьгьбет<n><abs>/суьгьбет<verb>,суьгьбет/суьгьбет
физва,фи<verb>><imperf>,фи-зва
Жегьилри,жегьил<n>><pl><erg>,жегьил-ри
чпин,чеб<prn>><gen>,чпи-н
кьисмет,кьисмет<n><abs>/кьисмет<verb>,кьисмет/кьисмет
икӀ,икӀ<adv>,икӀ
гьялунал,гьял<verb>><msd>><super><essive>,гьял-уна-л
вири,вири<adv>/вири<n><abs>/вири<prn>/вир<n>><erg>,вири/вири/вири/вир-и
рази,рази<adj>,рази
жезва,же<verb>><imperf>,же-зва
Агъадихъ,агъа<n>><post><essive>,агъади-хъ
комедиядин,комедия<n>><gen>,комедияди-н
эхиримжи,эхиримжи<adj>,эхиримжи
шикил,*,*
гузва,гу<verb>><imperf>,гу-зва
Кьвед,кьвед<num>,кьвед
лагьай,лагьай<conj>/лагьай<ord>/лагьа<verb>><aor><ptp>,лагьай/лагьай/лагьа-й
перде,перде<n><abs>,перде
Вад,вад<num>,вад
лагьай,лагьай<conj>/лагьай<ord>/лагьа<verb>><aor><ptp>,лагьай/лагьай/лагьа-й
шикил,*,*
Яргъай,яргъай<adv>,Яргъай
зуьрнейринни,зуьрне<n>><pl>><gen>><add>,зуьрне-йри-н-ни
далдамдин,далдам<n>><gen>,далдамди-н
ванер,ван<n>><pl><abs>,ван-ер
къведа,къве<verb>><fut>,къве-да
абур,абур<n><abs>/а<prn>><pl><abs>,абур/а-бур
къвердавай,къвердавай<adv>/къве<verb>><grad>,къвердавай/къве-рдавай
мукьвал,мукьвал<adj>/мукьвал<adv>/мукьвал<verb>,мукьвал/мукьвал/мукьвал
жеда,же<verb>><fut>,же-да
Ура,ура<intj>,ура
Свас,свас<n><abs>,свас
хтана,*,*
Ажай,*,*
гьинва,*,*
Ажай,*,*
Ажай,*,*
Чукурда,чукур<verb>><fut>,чукур-да
За,з<prn>><erg>/з<prn>><in><essive>,з-а/з-а
исятда,исятда<adv>,исятда
адаз,а<prn>><sg>><dat>,а-да-з
эверда,эвер<n>><in><essive>/эвер<verb>><fut>,эверд-а/эвер-да
Акъваз,акъваз<intj>/акъваз<verb>/акъваз<verb><imper>,акъваз/акъваз/акъваз
Пери,пери<n><abs>,пери
Тади,тади<adj>/тади<n><abs>/та<verb>><afut>,тади/тади/та-ди
къачумир,къачу<verb>><prohib>,къачу-мир
Рушар,руша<verb>><aimpp>/руш<n>><pl><abs>,руша-р/руш-ар
Ша,ша<part>/ша<verb><imper>,ша/ша
чна,ч<prn>><erg>,чн-а
Ажай,*,*
къари,къари<n><abs>,къари
кутугай,кутугай<adj>,кутугай
къаршиламишда,къаршиламиш<verb>><fut>,къаршиламиш-да
За,з<prn>><erg>/з<prn>><in><essive>,з-а/з-а
гъил,гъил<n><abs>,гъил
хкажна,хкаж<verb>><aoc>/хкаж<verb>><aor>,хкаж-на/хкаж-на
агъузун,агъуз<verb>><msd>,агъуз-ун
кумаз,кума<cop>><cvb>,кума-з
куьне,к<prn>><erg>,куьн-е
Дидедиз,диде<n>><dat>,дидеди-з
салам,салам<intj>/салам<n><abs>,салам/салам
мани,мани<n><abs>,мани
хкажда,хкаж<verb>><fut>,хкаж-да
Музыкадин,музыка<n>><gen>,музыкади-н
ванер,ван<n>><pl><abs>,ван-ер
къвердавай,къвердавай<adv>/къве<verb>><grad>,къвердавай
мукьвал,мукьвал<adj>/мукьвал<adv>/мукьвал<verb>,мукьвал/мукьвал/мукьвал
жеда,же<verb>><fut>,же-да
Рушарин,руш<n>><pl>><gen>,руш-ари-н
юкьва,юкьва<post>,юкьва
